id,title,abstract,authors,date,categories,comment,pdf_url
2503.16395v1,Truthful Elicitation of Imprecise Forecasts,"The quality of probabilistic forecasts is crucial for decision-making under
uncertainty. While proper scoring rules incentivize truthful reporting of
precise forecasts, they fall short when forecasters face epistemic uncertainty
about their beliefs, limiting their use in safety-critical domains where
decision-makers (DMs) prioritize proper uncertainty management. To address
this, we propose a framework for scoring imprecise forecasts -- forecasts given
as a set of beliefs. Despite existing impossibility results for deterministic
scoring rules, we enable truthful elicitation by drawing connection to social
choice theory and introducing a two-way communication framework where DMs first
share their aggregation rules (e.g., averaging or min-max) used in downstream
decisions for resolving forecast ambiguity. This, in turn, helps forecasters
resolve indecision during elicitation. We further show that truthful
elicitation of imprecise forecasts is achievable using proper scoring rules
randomized over the aggregation procedure. Our approach allows DM to elicit and
integrate the forecaster's epistemic uncertainty into their decision-making
process, thus improving credibility.","['Anurag Singh', 'Siu Lun Chau', 'Krikamol Muandet']",2025-03-20,['cs.LG'],"32 pages, 3 figures",http://arxiv.org/pdf/2503.16395v1
2503.16382v1,Sparse Nonparametric Contextual Bandits,"This paper studies the problem of simultaneously learning relevant features
and minimising regret in contextual bandit problems. We introduce and analyse a
new class of contextual bandit problems, called sparse nonparametric contextual
bandits, in which the expected reward function lies in the linear span of a
small unknown set of features that belongs to a known infinite set of candidate
features. We consider two notions of sparsity, for which the set of candidate
features is either countable or uncountable. Our contribution is two-fold.
First, we provide lower bounds on the minimax regret, which show that
polynomial dependence on the number of actions is generally unavoidable in this
setting. Second, we show that a variant of the Feel-Good Thompson Sampling
algorithm enjoys regret bounds that match our lower bounds up to logarithmic
factors of the horizon, and have logarithmic dependence on the effective number
of candidate features. When we apply our results to kernelised and neural
contextual bandits, we find that sparsity always enables better regret bounds,
as long as the horizon is large enough relative to the sparsity and the number
of actions.","['Hamish Flynn', 'Julia Olkhovskaya', 'Paul Rognon-Vael']",2025-03-20,"['stat.ML', 'cs.LG']",45 pages,http://arxiv.org/pdf/2503.16382v1
2503.16371v1,Reinforcement Learning-based Heuristics to Guide Domain-Independent Dynamic Programming,"Domain-Independent Dynamic Programming (DIDP) is a state-space search
paradigm based on dynamic programming for combinatorial optimization. In its
current implementation, DIDP guides the search using user-defined dual bounds.
Reinforcement learning (RL) is increasingly being applied to combinatorial
optimization problems and shares several key structures with DP, being
represented by the Bellman equation and state-based transition systems. We
propose using reinforcement learning to obtain a heuristic function to guide
the search in DIDP. We develop two RL-based guidance approaches: value-based
guidance using Deep Q-Networks and policy-based guidance using Proximal Policy
Optimization. Our experiments indicate that RL-based guidance significantly
outperforms standard DIDP and problem-specific greedy heuristics with the same
number of node expansions. Further, despite longer node evaluation times, RL
guidance achieves better run-time performance than standard DIDP on three of
four benchmark domains.","['Minori Narita', 'Ryo Kuroiwa', 'J. Christopher Beck']",2025-03-20,"['cs.AI', 'cs.LG']","24 pages, 4 figures, to be published in CPAIOR 2025
  (https://sites.google.com/view/cpaior2025)",http://arxiv.org/pdf/2503.16371v1
2503.16364v1,Neural Networks: According to the Principles of Grassmann Algebra,"In this paper, we explore the algebra of quantum idempotents and the
quantization of fermions which gives rise to a Hilbert space equal to the
Grassmann algebra associated with the Lie algebra. Since idempotents carry
representations of the algebra under consideration, they form algebraic
varieties and smooth manifolds in the natural topology. In addition to the
motivation of linking up mathematical physics with machine learning, it is also
shown that by using idempotents and invariant subspace of the corresponding
algebras, these representations encode and perhaps provide a probabilistic
interpretation of reasoning and relational paths in geometrical terms.","['Z. Zarezadeh', 'N. Zarezadeh']",2025-03-20,"['cs.LG', 'cs.AI']",,http://arxiv.org/pdf/2503.16364v1
2503.16363v1,Probabilistic Quantum SVM Training on Ising Machine,"Quantum computing holds significant potential to accelerate machine learning
algorithms, especially in solving optimization problems like those encountered
in Support Vector Machine (SVM) training. However, current QUBO-based Quantum
SVM (QSVM) methods rely solely on binary optimal solutions, limiting their
ability to identify fuzzy boundaries in data. Additionally, the limited qubit
count in contemporary quantum devices constrains training on larger datasets.
In this paper, we propose a probabilistic quantum SVM training framework
suitable for Coherent Ising Machines (CIMs). By formulating the SVM training
problem as a QUBO model, we leverage CIMs' energy minimization capabilities and
introduce a Boltzmann distribution-based probabilistic approach to better
approximate optimal SVM solutions, enhancing robustness. To address qubit
limitations, we employ batch processing and multi-batch ensemble strategies,
enabling small-scale quantum devices to train SVMs on larger datasets and
support multi-class classification tasks via a one-vs-one approach. Our method
is validated through simulations and real-machine experiments on binary and
multi-class datasets. On the banknote binary classification dataset, our
CIM-based QSVM, utilizing an energy-based probabilistic approach, achieved up
to 20% higher accuracy compared to the original QSVM, while training up to
$10^4$ times faster than simulated annealing methods. Compared with classical
SVM, our approach either matched or reduced training time. On the IRIS
three-class dataset, our improved QSVM outperformed existing QSVM models in all
key metrics. As quantum technology advances, increased qubit counts are
expected to further enhance QSVM performance relative to classical SVM.","['Haoqi He', 'Yan Xiao']",2025-03-20,"['cs.LG', 'quant-ph']",,http://arxiv.org/pdf/2503.16363v1
2503.16361v1,Enhancing variational quantum algorithms by balancing training on classical and quantum hardware,"Quantum computers offer a promising route to tackling problems that are
classically intractable such as in prime-factorization, solving large-scale
linear algebra and simulating complex quantum systems, but require
fault-tolerant quantum hardware. On the other hand, variational quantum
algorithms (VQAs) have the potential to provide a near-term route to quantum
utility or advantage, and is usually constructed by using parametrized quantum
circuits (PQCs) in combination with a classical optimizer for training.
Although VQAs have been proposed for a multitude of tasks such as ground-state
estimation, combinatorial optimization and unitary compilation, there remain
major challenges in its trainability and resource costs on quantum hardware.
Here we address these challenges by adopting Hardware Efficient and dynamical
LIe algebra Supported Ansatz (HELIA), and propose two training schemes that
combine an existing g-sim method (that uses the underlying group structure of
the operators) and the Parameter-Shift Rule (PSR). Our improvement comes from
distributing the resources required for gradient estimation and training to
both classical and quantum hardware. We numerically test our proposal for
ground-state estimation using Variational Quantum Eigensolver (VQE) and
classification of quantum phases using quantum neural networks. Our methods
show better accuracy and success of trials, and also need fewer calls to the
quantum hardware on an average than using only PSR (upto 60% reduction), that
runs exclusively on quantum hardware. We also numerically demonstrate the
capability of HELIA in mitigating barren plateaus, paving the way for training
large-scale quantum models.","['Rahul Bhowmick', 'Harsh Wadhwa', 'Avinash Singh', 'Tania Sidana', 'Quoc Hoan Tran', 'Krishna Kumar Sabapathy']",2025-03-20,"['quant-ph', 'cs.LG']","28 pages, 13 figures, 5 tables, 4 algorithms",http://arxiv.org/pdf/2503.16361v1
2503.16356v1,CaKE: Circuit-aware Editing Enables Generalizable Knowledge Learners,"Knowledge Editing (KE) enables the modification of outdated or incorrect
information in large language models (LLMs). While existing KE methods can
update isolated facts, they struggle to generalize these updates to multi-hop
reasoning tasks that depend on the modified knowledge. Through an analysis of
reasoning circuits -- the neural pathways LLMs use for knowledge-based
inference, we observe that current layer-localized KE approaches, such as MEMIT
and WISE, which edit only single or a few model layers, struggle to effectively
incorporate updated information into these reasoning pathways. To address this
limitation, we propose CaKE (Circuit-aware Knowledge Editing), a novel method
that enables more effective integration of updated knowledge in LLMs. CaKE
leverages strategically curated data, guided by our circuits-based analysis,
that enforces the model to utilize the modified knowledge, stimulating the
model to develop appropriate reasoning circuits for newly integrated knowledge.
Experimental results show that CaKE enables more accurate and consistent use of
updated knowledge across related reasoning tasks, leading to an average of 20%
improvement in multi-hop reasoning accuracy on MQuAKE dataset compared to
existing KE methods. We release the code and data in
https://github.com/zjunlp/CaKE.","['Yunzhi Yao', 'Jizhan Fang', 'Jia-Chen Gu', 'Ningyu Zhang', 'Shumin Deng', 'Huajun Chen', 'Nanyun Peng']",2025-03-20,"['cs.CL', 'cs.AI', 'cs.CV', 'cs.IR', 'cs.LG']",Work in progress,http://arxiv.org/pdf/2503.16356v1
2503.16351v1,Lyra: An Efficient and Expressive Subquadratic Architecture for Modeling Biological Sequences,"Deep learning architectures such as convolutional neural networks and
Transformers have revolutionized biological sequence modeling, with recent
advances driven by scaling up foundation and task-specific models. The
computational resources and large datasets required, however, limit their
applicability in biological contexts. We introduce Lyra, a subquadratic
architecture for sequence modeling, grounded in the biological framework of
epistasis for understanding sequence-to-function relationships. Mathematically,
we demonstrate that state space models efficiently capture global epistatic
interactions and combine them with projected gated convolutions for modeling
local relationships. We demonstrate that Lyra is performant across over 100
wide-ranging biological tasks, achieving state-of-the-art (SOTA) performance in
many key areas, including protein fitness landscape prediction, biophysical
property prediction (e.g. disordered protein region functions) peptide
engineering applications (e.g. antibody binding, cell-penetrating peptide
prediction), RNA structure analysis, RNA function prediction, and CRISPR guide
design. It achieves this with orders-of-magnitude improvements in inference
speed and reduction in parameters (up to 120,000-fold in our tests) compared to
recent biology foundation models. Using Lyra, we were able to train and run
every task in this study on two or fewer GPUs in under two hours, democratizing
access to biological sequence modeling at SOTA performance, with potential
applications to many fields.","['Krithik Ramesh', 'Sameed M. Siddiqui', 'Albert Gu', 'Michael D. Mitzenmacher', 'Pardis C. Sabeti']",2025-03-20,"['cs.LG', 'q-bio.GN']","53 pages, 5 figures",http://arxiv.org/pdf/2503.16351v1
2503.16342v1,HiQ-Lip: The First Quantum-Classical Hierarchical Method for Global Lipschitz Constant Estimation of ReLU Networks,"Estimating the global Lipschitz constant of neural networks is crucial for
understanding and improving their robustness and generalization capabilities.
However, precise calculations are NP-hard, and current semidefinite programming
(SDP) methods face challenges such as high memory usage and slow processing
speeds. In this paper, we propose \textbf{HiQ-Lip}, a hybrid quantum-classical
hierarchical method that leverages Coherent Ising Machines (CIMs) to estimate
the global Lipschitz constant. We tackle the estimation by converting it into a
Quadratic Unconstrained Binary Optimization (QUBO) problem and implement a
multilevel graph coarsening and refinement strategy to adapt to the constraints
of contemporary quantum hardware. Our experimental evaluations on fully
connected neural networks demonstrate that HiQ-Lip not only provides estimates
comparable to state-of-the-art methods but also significantly accelerates the
computation process. In specific tests involving two-layer neural networks with
256 hidden neurons, HiQ-Lip doubles the solving speed and offers more accurate
upper bounds than the existing best method, LiPopt. These findings highlight
the promising utility of small-scale quantum devices in advancing the
estimation of neural network robustness.","['Haoqi He', 'Yan Xiao']",2025-03-20,"['cs.LG', 'cs.AI', 'quant-ph']",,http://arxiv.org/pdf/2503.16342v1
2503.16340v1,Nonlinear action prediction models reveal multi-timescale locomotor control,"Modeling movement in real-world tasks is a fundamental scientific goal.
However, it is unclear whether existing models and their assumptions,
overwhelmingly tested in laboratory-constrained settings, generalize to the
real world. For example, data-driven models of foot placement control -- a
crucial action for stable locomotion -- assume linear and single timescale
mappings. We develop nonlinear foot placement prediction models, finding that
neural network architectures with flexible input history-dependence like GRU
and Transformer perform best across multiple contexts (walking and running,
treadmill and overground, varying terrains) and input modalities (multiple body
states, gaze), outperforming traditional models. These models reveal context-
and modality-dependent timescales: there is more reliance on fast-timescale
predictions in complex terrain, gaze predictions precede body state
predictions, and full-body state predictions precede center-of-mass-relevant
predictions. Thus, nonlinear action prediction models provide quantifiable
insights into real-world motor control and can be extended to other actions,
contexts, and populations.","['Wei-Chen Wang', 'Antoine De Comite', 'Monica Daley', 'Alexandra Voloshina', 'Nidhi Seethapathi']",2025-03-20,"['cs.LG', 'cs.RO']",,http://arxiv.org/pdf/2503.16340v1
2503.16337v1,Optimal Complexity in Byzantine-Robust Distributed Stochastic Optimization with Data Heterogeneity,"In this paper, we establish tight lower bounds for Byzantine-robust
distributed first-order stochastic optimization methods in both strongly convex
and non-convex stochastic optimization. We reveal that when the distributed
nodes have heterogeneous data, the convergence error comprises two components:
a non-vanishing Byzantine error and a vanishing optimization error. We
establish the lower bounds on the Byzantine error and on the minimum number of
queries to a stochastic gradient oracle required to achieve an arbitrarily
small optimization error. Nevertheless, we identify significant discrepancies
between our established lower bounds and the existing upper bounds. To fill
this gap, we leverage the techniques of Nesterov's acceleration and variance
reduction to develop novel Byzantine-robust distributed stochastic optimization
methods that provably match these lower bounds, up to logarithmic factors,
implying that our established lower bounds are tight.","['Qiankun Shi', 'Jie Peng', 'Kun Yuan', 'Xiao Wang', 'Qing Ling']",2025-03-20,"['math.OC', 'cs.LG']",,http://arxiv.org/pdf/2503.16337v1
2503.16328v1,Knowledge-guided machine learning model with soil moisture for corn yield prediction under drought conditions,"Remote sensing (RS) techniques, by enabling non-contact acquisition of
extensive ground observations, have become a valuable tool for corn yield
prediction. Traditional process-based (PB) models are limited by fixed input
features and struggle to incorporate large volumes of RS data. In contrast,
machine learning (ML) models are often criticized for being ``black boxes''
with limited interpretability. To address these limitations, we used
Knowledge-Guided Machine Learning (KGML), which combined the strengths of both
approaches and fully used RS data. However, previous KGML methods overlooked
the crucial role of soil moisture in plant growth. To bridge this gap, we
proposed the Knowledge-Guided Machine Learning with Soil Moisture (KGML-SM)
framework, using soil moisture as an intermediate variable to emphasize its key
role in plant development. Additionally, based on the prior knowledge that the
model may overestimate under drought conditions, we designed a drought-aware
loss function that penalizes predicted yield in drought-affected areas. Our
experiments showed that the KGML-SM model outperformed other ML models.
Finally, we explored the relationships between drought, soil moisture, and corn
yield prediction, assessing the importance of various features and analyzing
how soil moisture impacts corn yield predictions across different regions and
time periods.","['Xiaoyu Wang', 'Yijia Xu', 'Jingyi Huang', 'Zhengwei Yang', 'Zhou Zhang']",2025-03-20,"['cs.LG', 'cs.AI']",,http://arxiv.org/pdf/2503.16328v1
2503.16323v1,NeuralFoil: An Airfoil Aerodynamics Analysis Tool Using Physics-Informed Machine Learning,"NeuralFoil is an open-source Python-based tool for rapid aerodynamics
analysis of airfoils, similar in purpose to XFoil. Speedups ranging from 8x to
1,000x over XFoil are demonstrated, after controlling for equivalent accuracy.
NeuralFoil computes both global and local quantities (lift, drag, velocity
distribution, etc.) over a broad input space, including: an 18-dimensional
space of airfoil shapes, possibly including control deflections; a 360 degree
range of angles of attack; Reynolds numbers from $10^2$ to $10^{10}$; subsonic
flows up to the transonic drag rise; and with varying turbulence parameters.
Results match those of XFoil closely: the mean relative error of drag is 0.37%
on simple cases, and remains as low as 2.0% on a test dataset with numerous
post-stall and transitional cases. NeuralFoil facilitates gradient-based design
optimization, due to its $C^\infty$-continuous solutions,
automatic-differentiation-compatibility, and bounded computational cost without
non-convergence issues.
  NeuralFoil is a hybrid of physics-informed machine learning techniques and
analytical models. Here, physics information includes symmetries that are
structurally embedded into the model architecture, feature engineering using
domain knowledge, and guaranteed extrapolation to known limit cases. This work
also introduces a new approach for surrogate model uncertainty quantification
that enables robust design optimization.
  This work discusses the methodology and performance of NeuralFoil with
several case studies, including a practical airfoil design optimization study
including both aerodynamic and non-aerodynamic constraints. Here, NeuralFoil
optimization is able to produce airfoils nearly identical in performance and
shape to expert-designed airfoils within seconds; these
computationally-optimized airfoils provide a useful starting point for further
expert refinement.","['Peter Sharpe', 'R. John Hansman']",2025-03-20,"['physics.flu-dyn', 'cs.LG']","42 pages, 14 figures",http://arxiv.org/pdf/2503.16323v1
2503.16316v1,On the Cone Effect in the Learning Dynamics,"Understanding the learning dynamics of neural networks is a central topic in
the deep learning community. In this paper, we take an empirical perspective to
study the learning dynamics of neural networks in real-world settings.
Specifically, we investigate the evolution process of the empirical Neural
Tangent Kernel (eNTK) during training. Our key findings reveal a two-phase
learning process: i) in Phase I, the eNTK evolves significantly, signaling the
rich regime, and ii) in Phase II, the eNTK keeps evolving but is constrained in
a narrow space, a phenomenon we term the cone effect. This two-phase framework
builds on the hypothesis proposed by Fort et al. (2020), but we uniquely
identify the cone effect in Phase II, demonstrating its significant performance
advantages over fully linearized training.","['Zhanpeng Zhou', 'Yongyi Yang', 'Jie Ren', 'Mahito Sugiyama', 'Junchi Yan']",2025-03-20,['cs.LG'],Accepted by ICLR 2025 workshop DeLTa,http://arxiv.org/pdf/2503.16316v1
